utility_to_osm - ERROR - ssr:stedsnr = 16004: Adding multiple names to name tag, this is not OK! name = "Djupvika;Juvvika"
utility_to_osm - WARNING - ssr:stedsnr = 16004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16010: No priority spelling found for lang = no, using alt_name to get "[('no', 'Håkaringvatnet')]"
utility_to_osm - WARNING - ssr:stedsnr = 16016 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16020 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16059 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16103 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 16135: Adding multiple names to name tag, this is not OK! name = "Høglia;Salen"
utility_to_osm - WARNING - ssr:stedsnr = 16135 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16309 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16311 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16603 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16351 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16904 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16912 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16922 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16932 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16937 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16947 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16952 has multiple (5) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 16961: Adding multiple names to name tag, this is not OK! name = "Brøskjærholmen;Brøskjeholmen"
utility_to_osm - WARNING - ssr:stedsnr = 16961 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16968 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16976 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16867 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16877 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16895 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 16900 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 25409 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 26601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 44428 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 44595 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77002 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77005 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77016 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77022 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 76958 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 77103: Adding multiple names to name tag, this is not OK! name = "Flatskjær;Flatholmen"
utility_to_osm - WARNING - ssr:stedsnr = 77103 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77114 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77156 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77158 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77159 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77168 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77100 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77269 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77408 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77419 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77201: No priority spelling found for lang = no, using alt_name to get "[('no', 'Ågvatnet')]"
utility_to_osm - WARNING - ssr:stedsnr = 77201 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77350 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77361 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77369 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77656 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77669 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77805 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77716 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77754 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77904 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77853 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77855 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77948 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 77998 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137110 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 137116: Adding multiple names to name tag, this is not OK! name = "Skjellighompan;Langmyråsen"
utility_to_osm - WARNING - ssr:stedsnr = 137116 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137124 has multiple (10) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137002 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137009 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137011 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137018 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 137021 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 137219: Adding multiple names to name tag, this is not OK! name = "Øverkjettavatnet;Øvrevatnet"
utility_to_osm - WARNING - ssr:stedsnr = 137219 has multiple (4) positions, using the first one!
