utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 4510 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 4770 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5217 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 5125 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 5357: Adding multiple names to name tag, this is not OK! name = "Nakkerudtangen;Tangen"
utility_to_osm - WARNING - ssr:stedsnr = 5579 has multiple (11) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6603 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6604: No priority spelling found for lang = no, using alt_name to get "[('no', 'Væla')]"
utility_to_osm - WARNING - ssr:stedsnr = 6604 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6801 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6804 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6807 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6885 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6974 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 6981 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7503 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7652 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7801 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7856 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 272861: No priority spelling found for lang = no, using alt_name to get "[('no', 'Rundhølsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 233260: No priority spelling found for lang = no, using alt_name to get "[('no', 'Tyrimyrveien')]"
utility_to_osm - ERROR - ssr:stedsnr = 233260. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25310. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25722. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25627. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25684. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25693. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 25873. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 26215 has multiple (3) positions, using the first one!
