utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3421/3421-ssr.xml? Trying to re-download "metry 'Sted.646111_APP_POSISJON'-->
        <gml:Point gml:id="Sted.646111_APP_POSISJON" srsName="EPSG:25832">
          <g"
utility_to_osm - WARNING - ssr:stedsnr = 231024 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 7061: Adding multiple names to name tag, this is not OK! name = "Sørhaugen;Søre Gjevaldshaugen"
utility_to_osm - WARNING - ssr:stedsnr = 7102 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7349 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7362 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7709 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7722 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7803 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7806 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 7811 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8006 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8015 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8019 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8020 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8108 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8113 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8119 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8401 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8359 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8400 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8539 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8639 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8658 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8696 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8803 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8774 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8938 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8941 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 8992 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9319 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9295 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9300 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9589 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9590 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9890 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 9990 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10490 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10613 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10632 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10633 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10639 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10641 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10504 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10538 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10718 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10804 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 10806 has multiple (6) positions, using the first one!
