utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3821/3821-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 2133 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2336 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2338 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2281 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2287 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2487 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2495 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2537 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2704 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2707 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2714 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2731 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2804 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2810 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2812 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2814 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3018 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2989 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3504 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3629 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 231334 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 50121 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51613: No priority spelling found for lang = no, using alt_name to get "[('no', 'Fisketjønnbrui')]"
utility_to_osm - WARNING - ssr:stedsnr = 51625: No priority spelling found for lang = no, using alt_name to get "[('no', 'Fisketjønnmyri')]"
utility_to_osm - WARNING - ssr:stedsnr = 52271 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63209 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63280 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63422 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63425 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63312 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63381 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63680 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63808 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63811 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63826 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63561 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63713 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63716 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63726 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 63776 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245066 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245155 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245170 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245225 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245207 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245286 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245231 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245236 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245250 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245307 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245308 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245312 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245315 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245262 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245265 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245379 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245389 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245390 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245397 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245518 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245519 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245324 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245335 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245341 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245343 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245352 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245485 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245486 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245491 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245505 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245658 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245754 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245532 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245533 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245666 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245674 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245675 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245683 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245687 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245766 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245756 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245758 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245762 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245834 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245783 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245785 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245787 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245796 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245797 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245866 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245868 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245836 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245843 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245851 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245858 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245987 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245934 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245953 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245962 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246474 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246484 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246640 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 96321 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 110579 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 110707 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 111312 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 113679 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123070 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123075 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123077 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123139 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123140 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123533 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123603 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123702 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123707 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123764 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123960 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123804 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123817 has multiple (4) positions, using the first one!
