utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3823/3823-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 229752 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 861 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1009 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1115 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1310 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1317 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1404 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1406 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1413 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1491 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1602 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1387 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1397 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 1400 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2136 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2351 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2216 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2227 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2231 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2234 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2478 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2703 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2906 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2913 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2977 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2978 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2988 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2991 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 2993 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 3000 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 230873 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 27515 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 27482 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 27484 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 27488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28029 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28035 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28070 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 41970. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 237546: No priority spelling found for lang = no, using alt_name to get "[('no', 'Lønnegravsvegen')]"
