utility_to_osm - WARNING - ssr:stedsnr = 231315: No priority spelling found for lang = se, using alt_name to get "[('no', 'Tiandevarrirøysa'), ('no', 'Cuovzavarrirøysa')]"
utility_to_osm - ERROR - ssr:stedsnr = 231315: Adding multiple names to name tag, this is not OK! name = "Tiandevarrirøysa;Cuovzavarrirøysa"
utility_to_osm - WARNING - ssr:stedsnr = 231470: No priority spelling found for lang = se, using alt_name to get "[('no', 'Hjerterøysa')]"
utility_to_osm - WARNING - ssr:stedsnr = 231470 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17106 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17108 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17352 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17300 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 17509 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18099 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18275 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18284 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18407 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18400 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18500 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233461 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233463 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 28503: No priority spelling found for lang = se, using alt_name to get "[('no', 'Straumen'), ('se', 'Čoalbmi')]"
utility_to_osm - WARNING - ssr:stedsnr = 28503 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 236398 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 237560 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 55116: No priority spelling found for lang = se, using alt_name to get "[('no', 'Krokstadskardet'), ('se', 'Beassetvággi')]"
utility_to_osm - WARNING - ssr:stedsnr = 78096 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78097 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78098 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78103 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78115 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78307 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78314 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78317 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 78403 has multiple (3) positions, using the first one!
