utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/5419/5419-ssr.xml? Trying to re-download "1.664</gml:pos>
                    </gml:Point>
                  </app:posisjon>
                  <app:kartblad>EW259-5-"
utility_to_osm - WARNING - ssr:stedsnr = 18509 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 18469 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 19601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 29510 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 236474 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51306 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 51419 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 239338 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79494 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 79504: Adding multiple names to name tag, this is not OK! name = "Bakkejordskjeret;Skjæret"
utility_to_osm - WARNING - ssr:stedsnr = 79504 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79545 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79547 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79549 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 79892 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 115813 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139587 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139596 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139702 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 139606: Adding multiple names to name tag, this is not OK! name = "Vesttjørna;Vesltjønna"
utility_to_osm - WARNING - ssr:stedsnr = 139606 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 139695 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 140903 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 147910 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260741 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 260759 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261293 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 176170 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261557 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261569 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261576 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261579 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261582 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261614 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 261702 has multiple (2) positions, using the first one!
