seconds since 1970,Total SSR, Total in OSM
1525171377.11,900542,10451
1525171635.31,900542,10451
1525172119.22,900542,10451
1525172487.99,900542,10451
1525172682.03,900542,10451
1525175804.65,900542,10461
1525288328.86,900542,10461
1525461879.53,900542,17575
1529217924.92,897859,38147
1537119849.5,900536,41745
1549815197.37,898652,55309
1550083503.17,891867,55307
1550132614.1,900503,55307
1553471328.94,900516,56098
1559672730.71,900148,58134
1576443995.21,892951,57585
1576559628.2,881084,58970
1576692780.47,881084,58970
1576917296.01,900440,59018
1577525509.02,900440,59018
1578120803.98,900440,59152
1578718276.56,900440,59152
1586422522.27,864806,59031
1586427680.07,864806,59031
1586701492.81,864806,59031
1586771774.46,872066,59031
1588415827.97,872066,59028
1592705199.22,781072,47575
1592796122.09,869013,57148
1593260731.39,881975,58431
1601156303.01,712007,42144
1636807576.33871,620951,44159
1636808334.814892,620951,44159
1636881159.280964,620951,44159
1636883575.366052,620951,44159
1637605835.807168,620951,44159
1637610612.639698,620951,44159
1637783791.340673,620951,44159
1637795513.428665,736848,55772
